1,Thrift Shop,Macklemore & Ryan Lewis,2013.0," Hey, Macklemore, can we go thrift shopping? What-what, what, what? What-what, what, what? What-what, what, what? What-what, what, what? (Da) What-what, what, what? (Da-dum, ba-dum, ba-da-do-da) What-what, what, what? (Da-dum, ba-dum, ba-da-do-da) What-what, what, what? (Da-dum, ba-dum, ba-da-do-da) What-what, what, what? (Da-dum, ba-dum, ba-da-do-da) Da-dum, ba-dum, ba-da-do-da Da-dum, ba-dum, ba-da-do-da Da-dum, ba-dum, ba-da-do-da Da-dum, ba-dum, ba-da-do-da  I'm gonna pop some tags Only got twenty dollars in my pocket I'm, I'm, I'm huntin', lookin' for a come up This is fucking awesome (Now)   Walk into the club like, ""What up? I got a big cock"" Nah, I'm just pumped, I bought some shit from a thrift shop Ice on the fringe is so damn frosty The people like, ""Damn, that's a cold-ass honkey"" Rollin' in hella deep, headed to the mezzanine Dressed in all pink 'cept my gator shoes, those are green Draped in a leopard mink, girl standin' next to me Probably should've washed this, smells like R. Kelly sheets Piss But shit, it was ninety-nine cents (Bag it) Coppin' it, washin' it, 'bout to go and get some compliments Passin' up on those moccasins someone else has been walkin' in Bummy and grungy, fuck it, man, I am stunting and flossin' And saving my money and I'm hella happy, that's a bargain, bitch I'ma take your grandpa's style, I'ma take your grandpa's style No, for real, ask your grandpa, can I have his hand-me-downs? (Thank you) Velour jumpsuit and some house slippers Dookie-brown leather jacket that I found diggin' They had a broken keyboard, I bought a broken keyboard I bought a skeet blanket, then I bought a knee board Hello, hello, my ace man, my mellow John Wayne ain't got nothing on my fringe game, hell no I could take some Pro Wings, make 'em cool, sell those The sneaker heads would be like, ""Ah, he got the Velcros"" You might also like I'm gonna pop some tags Only got twenty dollars in my pocket I'm, I'm, I'm huntin', lookin' for a come up This is fucking awesome I'm gonna pop some tags Only got twenty dollars in my pocket I'm, I'm, I'm huntin', lookin' for a come up This is fucking awesome   What you know about rockin' a wolf on your noggin? What you knowin' about wearin' a fur fox skin? I'm diggin', I'm diggin', I'm searchin' right through that luggage One man's trash, that's another man's come up Thank your granddad for donatin' that plaid button- Up shirt 'cause right now, I'm up in here stuntin' I'm at the Goodwill, you can find me in the bins I'm not, I'm not stuck on searchin' in that section (Men's) Your grammy, your auntie, your mama, your mammy I'll take those flannel zebra jammies second hand and rock that, motherfucker The built-in onesie with the socks on the motherfucker I hit the party and they stop in that motherfucker They be like, ""Oh, that Gucci? That's hella tight"" I'm like, ""Yo, that's fifty dollars for a T-shirt"" Limited edition, let's do some simple addition Fifty dollars for a T-shirt, that's just some ignorant bitch shit I call that getting-swindled-and-pimped shit I call that getting tricked by business That shirt's hella dope And having the same one as six other people in this club is a hella don't Peep game, come take a look through my telescope Tryna get girls from a brand? Man, you hella won't Man, you hella won't Goodwill Poppin' tags, yeah  I'm gonna pop some tags Only got twenty dollars in my pocket I'm, I'm, I'm huntin', lookin' for a come up This is fucking awesome   I'll wear your granddad's clothes I look incredible I'm in this big-ass coat From that thrift shop down the road I'll wear your granddad's clothes (Damn right) I look incredible (Now come on, man) I'm in this big-ass coat (Big-ass coat) From that thrift shop down the road (Let's go, come on)   I'm gonna pop some tags Only got twenty dollars in my pocket I'm, I'm, I'm huntin', lookin' for a come up This is fucking awesome   Hahaha Is that your grandma's coat?"
2,Blurred Lines,Robin Thicke,2013.0," Everybody get up Everybody get up Hey, hey, hey Hey, hey, hey (Uh) Hey, hey, hey (Ha-ha Woo) Tune me up   If you can't hear what I'm trying to say (Hey, girl, come here) If you can't read from the same page (Hey) Maybe I'm going deaf (Hey, hey, hey) Maybe I'm going blind (Hey, hey, hey) Maybe I'm out of my mind (Hey, hey, hey) Everybody get up   Okay, now he was close Tried to domesticate you But you're an animal Baby, it's in your nature (Meow) Just let me liberate you (Hey, hey, hey) You don't need no takers (Hey, hey, hey) That man is not your maker (Hey, hey, hey) And that's why I'm gon' take a (Everybody get up) You might also like Good girl I know you want it (Hey) I know you want it I know you want it You're a good girl Can't let it get past me You're far from plastic (Alright) Talkin' 'bout getting blasted I hate these blurred lines I know you want it (Hey) I know you want it (Oh yeah) I know you want it But you're a good girl The way you grab me Must wanna get nasty Go ahead, get at me Everybody get up (Come on)   What do they make dreams for (Why?) When you got them jeans on? (Why?) What do we need steam for? You the hottest bitch in this place I feel so lucky (Hey, hey, hey) You wanna hug me (Hey, hey, hey) What rhymes with hug me? (Hey, hey, hey) Hey (Everybody get up)  Okay, now he was close Tried to domesticate you But you're an animal Baby, it's in your nature (Uh-huh) Just let me liberate you (Hey, hey, hey) (Uh-huh) You don't need no takers (Hey, hey, hey) (Uh-huh) That man is not your maker (Hey, hey, hey) (Uh-huh) And that's why I'm gon' take a (Everybody get up)   Good girl I know you want it I know you want it (Hey) I know you want it You're a good girl Can't let it get past me (Hey) You're far from plastic (Oh) Talkin' 'bout getting blasted (Everybody get up) I hate these blurred lines (Hate them lines) I know you want it (I hate them lines) I know you want it (I hate them lines) I know you want it But you're a good girl (Good girl) The way you grab me Must wanna get nasty Go ahead, get at me (Everybody get up)  Hustle Gang, homie Let go Ay, say Rob, let me holla at 'em real quick One thing I ask of you Let me be the one you back that ass up to (Come on) Go from Malibu to Paris, boo (Yeah) Had a bitch, but she ain't bad as you So, hit me up when you pass through I'll give you something big enough to tear your ass in two Swag on 'em even when you dress casual I mean, it's almost unbearable (Everybody get up) In a hundred years not dare would I Pull a Pharcyde, let you pass me by Nothin' like your last guy, he too square for you He don't smack that ass and pull your hair like that So I'm just watchin' and waitin' For you to salute the true big pimpin' (Okay) Not many women can refuse this pimpin' I'm a nice guy, but don't get it confused, get pimpin' (Everybody get up)   Shake your rump Get down, get up-a Do it like it hurt, like it hurt What, you don't like work? Hey (Everybody get up)   Baby, can you breathe? I got this from Jamaica It always works for me Dakota to Decatur (Uh-huh) No more pretending (Hey, hey, hey) (Uh-huh) 'Cause now you're winning (Hey, hey, hey) (Uh-huh) Here's our beginning (Hey, hey, hey) (Uh-huh) I always wanted a   You're a good girl (Everybody get up) I know you want it (Hey) I know you want it I know you want it You're a good girl Can't let it get past me (Oh yeah) You're far from plastic (Alright) Talkin' 'bout getting blasted I hate these blurred lines (Everybody get up) I know you want it (Hey) I know you want it (Oh yeah) I know you want it But you're a good girl The way you grab me Must wanna get nasty (Hey) Go ahead, get at me   Everybody get up Everybody get up Hey, hey, hey Hey, hey, hey Hey, hey, hey"
3,Radioactive,Imagine Dragons,2013.0," Woah, oh-oh Woah, oh-oh Woah, oh-oh Woah   I'm waking up to ash and dust I wipe my brow and I sweat my rust I'm breathing in the chemicals   I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Woah   I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive See Imagine Dragons LiveGet tickets as low as $14You might also like I raise my flags, dye my clothes It's a revolution, I suppose We're painted red to fit right in Woah   I'm breaking in, shaping up Then checking out on the prison bus This is it, the apocalypse Woah   I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive   All systems go, the sun hasn't died Deep in my bones, straight from inside  I'm waking up, I feel it in my bones Enough to make my system blow Welcome to the new age, to the new age Welcome to the new age, to the new age   Woah-oh, woah I'm radioactive, radioactive Woah-oh, woah I'm radioactive, radioactive"
4,Harlem Shake,Baauer,2013.0," Con los terroristas, -tas, -tas, -tas -tas -tas -tas -tas, -tas -tas -tas -tas -tas   Then do the Harlem Shake (Shake!) Ey (Shake!), con los terroristas Ey (Shake!), ey (Shake!) Ey (Shake!), ey (Shake!) Ey (Shake!), ey (Shake!)   (Shake!) -tas, (Shake!) -tas, -tas, (Shake!) -tas, -tas, -tas, -tas -tas, -tas, (Shake!) -tas, -tas, (Shake!) -tas, -tas, -tas, -tas -tas, -tas, -tas, -tas, -tas -tas -tas -tas -tas -tas -tas -tas -tas   Then do the Harlem Shake (Shake!) Ey (Shake!), con los terroristas Ey, (Shake!) ey (Shake!)   Shake, shake Shake, ey (Shake!) Ey (Shake!), ey (Shake!) Ey (Shake!)You might also like"
5,Can't Hold Us,Macklemore & Ryan Lewis,2013.0," Hey, hey, hey Good to see you Come on, dude, let's go Yeah, let's go Hahaha, alright Alright, okay Uh, alright, okay Alright, okay   Return of the Mack Get 'em; what it is? What it does? What it is? What it isn't? Looking for a better way to get up outta bed Instead of getting on the Internet And checking on who hit me, get up Thrift shop, pimp-strut walkin' Little bit of humble, little bit of cautious Somewhere between like Rocky and Cosby Sweater game, nope, nope, y'all can't copy, yeah Bad, moonwalking, this here is our party My posse's been on Broadway, and we did it our way Grown music, I shed my skin and put my bones Into everything I record to it and yet I'm on Let that stage light go and shine on down Got that Bob Barker suit game and Plinko in my style Money, stay on my craft and stick around for those pounds But I do that to pass the torch and put on for my town Trust me on my I-N-D-E-P-E-N-D-E-N-T shit, hustlin' Chasing dreams since I was fourteen With the four-track, bussin' Halfway 'cross that city with the back (Back) pack (Pack), fat (Fat) cat (Cat), crushin' Labels out here, now they can't tell me nothin' (Hey, hey, hey) We give that to the people, spread it across the country (Hey, hey, hey, oh) Labels out here, now they can't tell me nothin' (Hey, hey, hey) We give it to the people, spread it across the country (Hey, hey, hey, oh) You might also like Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us   Now, can I kick it? Thank you Yeah, I'm so damn grateful I grew up really wanting gold fronts But that's what you get when Wu-Tang raised you Y'all can't stop me Go hard like I got a 808 in my heartbeat And I'm eating at the beat like you gave a little speed To a great white shark on Shark Week, raw Time to go off, I'm gone Deuces, goodbye, I got a world to see And my girl, she wanna see Rome Caesar'll make you a believer Nah, I never ever did it for a throne That validation comes from giving it back to the people Now, sing a song, and it goes like Raise those hands, this is our party (Hey, hey, hey) We came here to live life like nobody was watching (Hey, hey, hey, oh) I got my city right behind me, if I fall, they got me (Hey, hey, hey) Learn from that failure, gain humility (Hey, hey, hey) And then we keep marching, I said  Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us   (And so we put our hands up) (And so we put our hands up) (Woah-oh, oh, oh) (Woah-oh, oh, oh) (Woah-oh, oh, oh)   Let's go Na, na, na-na, na, na-na, na (Uh-huh) Hey (And all my people sing) Na, na, na-na, na, na-na, na (Hey, hey, that's right) Hey (Here we go, all right, uh) And all my people sing Na, na, na-na, na, na-na, na (You do it, Ray) Oh (Ha-ha, let's go) And all my people sing Na, na, na-na, na, na-na, na Mackle-uh, uh, uh, uh, more  Can we go back? This is the moment Tonight is the night, we'll fight 'til it's over So we put our hands up Like the ceiling can't hold us Like the ceiling can't hold us Can we go back? This is the moment (Ooh) Tonight is the night, we'll fight 'til it's over (Ooh) So we put our hands up (Ooh) Like the ceiling can't hold us (Ooh) Like the ceiling can't hold us (Ooh)"
6,Mirrors,Justin Timberlake,2013.0," Aren't you somethin' to admire? 'Cause your shine is somethin' like a mirror And I can't help but notice You reflect in this heart of mine If you ever feel alone and The glare makes me hard to find Just know that I'm always Parallel on the other side   'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'll be tryna pull you through You just gotta be strong   'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along  It's like you're my mirror (Oh) My mirror's staring back at me  (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror's staring back at me, staring back at me   Aren't you somethin', an original? 'Cause it doesn't seem merely assembled And I can't help but stare, 'cause I see truth somewhere in your eyes Ooh, I can't ever change without you You reflect me, I love that about you And if I could, I Would look at us all the time   'Cause with your hand in my hand and a pocket full of soul I can tell you there's no place we couldn't go Just put your hand on the glass I'm here tryna pull you through You just gotta be strong See Justin Timberlake LiveGet tickets as low as $31You might also like 'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along   It's like you're my mirror (Oh) My mirror's staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror's staring back at me, staring back at me   Yesterday is history, oh Tomorrow's a mystery, oh I can see you lookin' back at me Keep your eyes on me Baby, keep your eyes on me  'Cause I don't wanna lose you now I'm lookin' right at the other half of me The vacancy that sat in my heart Is a space that now you hold Show me how to fight for now (You show me, baby) And I'll tell you, baby, it was easy Comin' back here to you once I figured it out You were right here all along   It's like you're my mirror (Oh) My mirror's staring back at me (Oh) I couldn't get any bigger (Oh) With anyone else beside me (Oh) And now it's clear as this promise That we're making Two reflections into one 'Cause it's like you're my mirror (Oh) My mirror's staring back at me, staring back at me   Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh)   You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life  Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh)   Now, you're the inspiration of this precious song And I just wanna see your face light up since you put me on So now I say goodbye to the old me, it's already gone And I can't wait, wait, wait, wait, wait to get you home Just to let you know, you are  Ohh (Oh oh, oh oh) Ohh (Oh oh, oh oh) Ohh ohh (Oh oh, oh oh) Uhh (Oh oh, oh oh) Ohh (Oh oh, oh oh)   You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life   Girl, you're my reflection, all I see is you My reflection in everything I do You're my reflection and all I see is you My reflection in everything I do   You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life You are, you are the love of my life"
7,Just Give Me a Reason,Pink,2013.0," Right from the start You were a thief, you stole my heart And I, your willing victim I let you see the parts of me That weren't all that pretty And with every touch, you fixed them   Now you've been talking in your sleep Oh, oh, things you never say to me Oh, oh, tell me that you've had enough Of our love, our love   Just give me a reason Just a little bit's enough Just a second, we're not broken, just bent And we can learn to love again It's in the stars It's been written in the scars on our hearts We're not broken, just bent And we can learn to love again   I'm sorry I don't understand Where all of this is coming from I thought that we were fine (Oh, we had everything) Your head is running wild again My dear, we still have everything And it's all in your mind (Yeah, but this is happening) See P!nk LiveGet tickets as low as $59You might also like You've been having real bad dreams Oh, oh, you used to lie so close to me Oh, oh, there's nothing more than empty sheets Between our love, our love Oh, our love, our love, love   Just give me a reason Just a little bit’s enough Just a second, we’re not broken, just bent And we can learn to love again I’ve never stopped You’re still written in the scars on my heart You’re not broken, just bent And we can learn to love again   Oh, tears ducts and rust I'll fix it for us We're collecting dust But our love's enough You're holding it in You're pouring a drink No, nothing is as bad as it seems We'll come clean  Just give me a reason Just a little bit's enough Just a second, we're not broken, just bent And we can learn to love again It's in the stars It's been written in the scars on our hearts That we're not broken, just bent And we can learn to love again Just give me a reason Just a little bit's enough Just a second we're not broken, just bent And we can learn to love again It's in the stars It's still written in the scars on our hearts That we're not broken, just bent And we can learn to love again   Oh-oh, we can learn to love again Oh-oh, can learn to love again Oh-oh That we're not broken, just bent And we can learn to love again"
8,When I Was Your Man,Bruno Mars,2013.0," Same bed, but it feels just a little bit bigger now Our song on the radio, but it don't sound the same When our friends talk about you, all it does is just tear me down 'Cause my heart breaks a little when I hear your name   It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize   That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man   Uh, my pride, my ego, my needs, and my selfish ways Caused a good, strong woman like you to walk out my life Now I'll never, never get to clean up the mess I made, oh And that haunts me every time I close my eyes See Bruno Mars LiveGet tickets as low as $146You might also like It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize   That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man   Although it hurts I'll be the first to say that I was wrong Oh, I know I'm probably much too late To try and apologize for my mistakes But I just want you to know   I hope he buys you flowers I hope he holds your hand Give you all his hours When he has the chance Take you to every party 'Cause I remember how much you love to dance Do all the things I should've done When I was your man Do all the things I should've done When I was your man"
9,Cruise,Florida Georgia Line,2013.0," Baby, you a song You make me wanna roll my windows down and cruise Ayy, baby   Yeah, when I first saw that bikini top on her She’s poppin' right out of the South Georgia water Thought, ""Oh, good lord,"" she had them long tanned legs Couldn't help myself, so I walked up and said   Well, baby, you a song, you make me wanna roll my windows down and cruise Down a back road, blowin' stop signs through the middle every little farm town with you And this brand new Chevy with a lift kit would look a hell of a lot better with you up in it, heh So, baby, you a song, you make me wanna roll my windows down and cruise   Well, she was sippin' on Southern and singin' Marshall Tucker We were fallin' in love in the sweet heart of summer She hopped right up into the cab of my truck and said ""Fire it up, let's go get this thing stuck""   Baby, you a song, you make me wanna roll my windows down and cruise Down a back road, blowin' stop signs through the middle every little farm town with you And this brand new Chevy with a lift kit would look a hell of a lot better with you up in it, heh So, baby, you a song, you make me wanna roll my windows down and cruise You might also like When that summer sun fell to his knees I looked at her and she looked at me And I turned on those KC lights and drove all night Because it felt so right, her and I, man, we felt so right   I put it in park and grabbed my guitar And strummed a couple chords And sang from the heart Girl, you sure got the beat in my chest bumpin' Hell, I can't get you out of my head   Baby, you a song, you make me wanna roll my windows down and cruise (Hahaha) Down a back road, blowin' stop signs through the middle every little farm town with you   Well, baby, you a song, you make me wanna roll my windows down and cruise Down a back road, blowin' stop signs through the middle every little farm town with you And this brand new Chevy with a lift kit would look a hell of a lot better with you up in it, come on Baby, you a song, you make me wanna roll my windows down and cruise   Come on, girl Get those windows down and cruise Awe, yeah"
10,Roar,Katy Perry,2013.0," I used to bite my tongue and hold my breath Scared to rock the boat and make a mess So I sat quietly, agreed politely I guess that I forgot I had a choice I let you push me past the breaking point I stood for nothing, so I fell for everything   You held me down, but I got up (Hey) Already brushing off the dust You hear my voice, you hear that sound Like thunder, gonna shake the ground You held me down, but I got up (Hey) Get ready 'cause I've had enough I see it all, I see it now  I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar   Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar You might also like Now I'm floating like a butterfly Stinging like a bee, I earned my stripes I went from zero, to my own hero   You held me down, but I got up (Hey) Already brushing off the dust You hear my voice, you hear that sound Like thunder, gonna shake the ground You held me down, but I got up (Got up) Get ready 'cause I've had enough I see it all, I see it now   I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar   Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar  Roar, roar, roar, roar, roar   I got the eye of the tiger, a fighter Dancing through the fire 'Cause I am a champion, and you're gonna hear me roar Oh, louder, louder than a lion 'Cause I am a champion, and you're gonna hear me roar   Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (Yeah) You're gonna hear me roar Oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh (You'll hear me roar) Oh-oh-oh-oh-oh-oh-oh You're gonna hear me roar  "
